ticker,r1_vol,r2_sell,r3_drawdown,r4_corr,r5_reversal,composite_risk,sector,stress_penalty,final_risk_score,stress_flag,risk_flag
PDR,8.88888888888889,7.4074074074074066,9.555555555555555,6.185185185185185,6.296296296296297,7.987037037037037,RealEstate,1.5,9.487037037037037,⚠ SPECULATIVE,EXCLUDED
DXG,8.518518518518519,8.88888888888889,8.814814814814815,7.296296296296297,7.037037037037037,8.33888888888889,RealEstate,0.0,8.33888888888889,✓ STABLE,HIGH
HSG,6.296296296296298,8.148148148148147,7.851851851851852,6.925925925925926,8.88888888888889,7.424074074074075,Industrial,0.0,7.424074074074075,✓ STABLE,HIGH
VHM,7.481481481481481,9.62962962962963,6.0,1.9814814814814814,10.0,7.149074074074075,RealEstate,0.0,7.149074074074075,✓ STABLE,HIGH
MSN,3.4074074074074066,7.777777777777778,7.333333333333334,8.037037037037038,9.25925925925926,6.564814814814815,Consumer,0.0,6.564814814814815,✓ STABLE,MEDIUM
VIC,6.518518518518519,9.25925925925926,5.629629629629629,1.2407407407407407,9.62962962962963,6.54537037037037,RealEstate,0.0,6.54537037037037,✓ STABLE,MEDIUM
KDH,7.62962962962963,6.296296296296297,6.518518518518518,6.555555555555555,2.2222222222222223,6.372222222222223,RealEstate,0.0,6.372222222222223,✓ STABLE,MEDIUM
VND,8.592592592592593,2.2222222222222223,5.703703703703703,7.777777777777778,7.4074074074074066,6.181481481481482,Technology,0.0,6.181481481481482,✓ STABLE,MEDIUM
TCB,5.185185185185185,4.444444444444445,5.481481481481481,10.0,7.777777777777778,6.040740740740741,Banking,0.0,6.040740740740741,✓ STABLE,MEDIUM
MWG,3.259259259259259,6.666666666666666,4.666666666666667,9.148148148148147,8.518518518518519,5.801851851851851,Consumer,0.0,5.801851851851851,✓ STABLE,MEDIUM
TPB,5.2592592592592595,4.814814814814815,5.407407407407407,9.518518518518519,4.0740740740740735,5.698148148148149,Banking,0.0,5.698148148148149,✓ STABLE,MEDIUM
VNM,2.740740740740741,10.0,5.481481481481482,4.092592592592593,2.962962962962963,5.328703703703704,Consumer,0.0,5.328703703703704,✓ STABLE,MEDIUM
HPG,1.777777777777778,5.555555555555555,6.518518518518518,7.9074074074074066,8.148148148148147,5.226851851851851,Industrial,0.0,5.226851851851851,✓ STABLE,MEDIUM
SHB,4.740740740740741,3.333333333333333,7.333333333333334,5.444444444444445,5.185185185185185,5.057407407407407,Banking,0.0,5.057407407407407,✓ STABLE,MEDIUM
MBB,1.851851851851852,8.518518518518519,2.3703703703703702,10.0,3.7037037037037033,5.029629629629629,Banking,0.0,5.029629629629629,✓ STABLE,MEDIUM
VCB,3.703703703703704,7.037037037037037,2.2222222222222223,5.0740740740740735,6.666666666666666,4.742592592592593,Banking,0.0,4.742592592592593,✓ STABLE,LOW
FPT,6.518518518518519,5.185185185185185,1.6296296296296298,3.833333333333333,4.444444444444445,4.597222222222222,Technology,0.0,4.597222222222222,✓ STABLE,LOW
HDB,3.2592592592592595,5.925925925925926,1.5555555555555554,7.166666666666666,5.925925925925926,4.437962962962963,Banking,0.0,4.437962962962963,✓ STABLE,LOW
CTG,2.444444444444444,4.0740740740740735,3.4814814814814814,10.0,3.333333333333333,4.281481481481481,Banking,0.0,4.281481481481481,✓ STABLE,LOW
ELC,6.518518518518519,1.8518518518518516,6.222222222222222,2.3518518518518516,2.5925925925925926,4.275,Technology,0.0,4.275,✓ STABLE,LOW
BID,5.333333333333334,3.7037037037037033,3.2592592592592595,5.814814814814815,1.4814814814814814,4.198148148148149,Banking,0.0,4.198148148148149,✓ STABLE,LOW
GAS,7.481481481481483,2.5925925925925926,4.814814814814815,0.8703703703703703,0.37037037037037035,4.023148148148149,Industrial,0.0,4.023148148148149,✓ STABLE,LOW
ACB,3.2592592592592595,2.962962962962963,1.5555555555555556,9.88888888888889,4.814814814814815,3.9944444444444445,Banking,0.0,3.9944444444444445,✓ STABLE,LOW
CMG,6.740740740740741,0.37037037037037035,4.592592592592593,4.203703703703703,0.7407407407407407,3.7379629629629627,Technology,0.0,3.7379629629629627,✓ STABLE,LOW
SAB,2.740740740740741,1.1111111111111112,6.962962962962963,3.2222222222222223,5.555555555555555,3.5314814814814817,Consumer,0.0,3.5314814814814817,✓ STABLE,LOW
PNJ,4.518518518518518,1.4814814814814814,1.4074074074074079,4.462962962962963,1.8518518518518516,2.862037037037037,Consumer,0.0,2.862037037037037,✓ STABLE,LOW
SGT,3.333333333333334,0.7407407407407407,3.6296296296296298,1.6111111111111112,1.1111111111111112,2.2638888888888893,Technology,0.0,2.2638888888888893,✓ STABLE,LOW
