date,open,high,low,close,volume,ticker
2020-01-02,63633.97384931708,64652.661216007094,63633.97384931708,64245.18359375,178086,GAS
2020-01-03,64245.1819419066,65467.608088294684,64245.1819419066,64381.0078125,276069,GAS
2020-01-06,65671.34720960085,66554.20868374576,65331.78253148643,66418.3828125,543480,GAS
2020-01-07,66350.46307048536,66350.46307048536,65399.68875825031,65942.9921875,180027,GAS
2020-01-08,66961.6715868931,67233.32329684227,65875.078125,65875.078125,553780,GAS
2020-01-09,65195.94513750822,65739.24852646785,64380.99674302019,64652.6484375,458874,GAS
2020-01-10,64856.39013844918,65195.94808293813,64516.82550500852,65128.03515625,202746,GAS
2020-01-13,65128.04122162485,65128.04122162485,64313.092714422826,64720.5703125,447792,GAS
2020-01-14,64652.65284725624,65195.949584321046,64448.9140625,64448.9140625,1114283,GAS
2020-01-15,64516.829652840875,64516.829652840875,63226.49065176129,63837.70703125,253906,GAS
2020-01-16,63837.70692282267,64041.44571563953,63158.577613433146,63362.31640625,640934,GAS
2020-01-17,63362.311363033536,63973.52769283537,62954.84049878391,63294.3984375,355217,GAS
2020-01-20,63294.39680867828,63566.04850382172,63090.66472627211,63430.22265625,219588,GAS
2020-01-21,63430.226827670616,64448.9140625,63430.226827670616,64448.9140625,228136,GAS
2020-01-22,64448.9140625,64788.47870376041,64041.443181939365,64448.9140625,205229,GAS
2020-01-30,61800.330524866855,63701.87915640121,61800.330524866855,62479.453125,478994,GAS
2020-01-31,61868.24423356001,62275.71512319488,58404.7048824276,58744.26953125,695510,GAS
2020-02-03,57725.58229730781,58336.798665437724,54737.43679778251,56503.15625,1034329,GAS
2020-02-04,57657.66917243045,57725.58210199288,55688.2109375,55688.2109375,474531,GAS
2020-02-05,56367.336252416346,57046.45885142322,54737.43599474313,55416.55859375,365896,GAS
2020-02-06,55416.55770594111,58336.796875,55416.55770594111,58336.796875,320056,GAS
2020-02-07,58336.79688623086,59083.832402209446,57725.58053674237,58404.703125,377495,GAS
2020-02-10,57725.58177622686,59015.920741679176,57046.4591733871,58948.0078125,356099,GAS
2020-02-11,58472.61654626901,58948.00704432823,57997.23273716165,58133.05859375,549291,GAS
2020-02-12,58812.180691325666,58812.180691325666,58133.05810306803,58404.703125,221240,GAS
2020-02-13,58268.88422634091,59830.86819319862,58268.88422634091,59423.390625,343215,GAS
2020-02-14,59423.390255145896,60374.16455273984,59083.83230604564,60102.51953125,205330,GAS
2020-02-17,60102.5187442013,60645.81546901826,59287.5703125,59287.5703125,226977,GAS
2020-02-18,59083.832402209446,59355.47742414141,58268.88395850992,58404.703125,271807,GAS
2020-02-19,58404.70018743455,58472.613111739694,57929.31640625,57929.31640625,210272,GAS
2020-02-20,59762.951984586005,59762.951984586005,57861.40348194485,57929.31640625,249871,GAS
2020-02-21,58404.70133362601,58540.52718490189,57997.23046875,57997.23046875,216135,GAS
2020-02-24,57725.582415289144,57725.582415289144,56706.89515527594,56978.546875,438917,GAS
2020-02-25,56027.77129541771,56978.545604296254,56027.77129541771,56367.3359375,747464,GAS
2020-02-26,56027.76958192316,56027.76958192316,54058.308095981556,54262.046875,603138,GAS
2020-02-27,54194.136024550964,54262.04895349183,53039.62292150818,53650.8359375,452709,GAS
2020-02-28,51002.24958109525,52903.79813171424,51002.24958109525,51477.63671875,849269,GAS
2020-03-02,51341.813075890386,53990.397237728364,51205.98721800865,53650.8359375,322375,GAS
2020-03-03,56299.42246462744,56299.42246462744,54329.9609375,54329.9609375,467044,GAS
2020-03-04,53990.39935347869,53990.39935347869,52835.88954966948,53039.625,576725,GAS
2020-03-05,53039.625,54329.96401148972,53039.625,53039.625,331074,GAS
2020-03-06,52971.709736084245,53039.62266469629,52360.50006752779,52632.1484375,262806,GAS
2020-03-09,48964.87890625,48964.87890625,48964.87890625,48964.87890625,285335,GAS
2020-03-10,45569.253052507,48149.92756208479,45569.253052507,46520.02734375,1736450,GAS
2020-03-11,47538.71604612446,48285.7515792167,43328.14453125,43328.14453125,1365142,GAS
2020-03-12,40339.9921875,41358.67934874896,40339.9921875,40339.9921875,1277433,GAS
2020-03-13,37555.587825896,39728.78496475282,37555.587825896,38710.09765625,1230308,GAS
2020-03-16,38574.27595039736,40883.2990044265,38030.975818071165,40272.0859375,837619,GAS
2020-03-17,38166.7991171316,40679.557461277065,38166.7991171316,40611.64453125,796179,GAS
2020-03-18,40747.471252055024,40747.471252055024,39253.39679332667,39389.22265625,1482943,GAS
2020-03-19,38030.97310126582,38370.53440553398,37283.93421850467,37555.5859375,1131846,GAS
2020-03-20,38710.09557265204,39457.13445276643,38030.97296652186,39321.30859375,710450,GAS
2020-03-23,37487.673919249246,38030.97402597403,36604.8125,36604.8125,983181,GAS
2020-03-24,38030.971022925034,38302.61938259915,37012.28382131443,38166.796875,1096003,GAS
2020-03-25,40272.08272353259,40815.3828125,39525.0471914999,40815.3828125,1354779,GAS
2020-03-26,40747.46679216864,41019.11848828251,39728.779620693065,39864.60546875,711206,GAS
2020-03-27,39864.60817370707,40136.25654377754,38778.0080044733,39525.046875,610373,GAS
2020-03-30,37283.9307382529,37623.49535530056,37012.28238909047,37080.1953125,701070,GAS
2020-03-31,39185.481614558434,39185.481614558434,36672.7233614413,37216.0234375,522615,GAS
2020-04-01,37148.11237405562,39117.57399441914,37148.11237405562,38098.88671875,728604,GAS
2020-04-03,40747.47199208429,40747.47199208429,39049.662052612504,40204.171875,1446495,GAS
2020-04-06,42105.71781268492,42784.84375,41426.59521984577,42784.84375,1907831,GAS
2020-04-07,43396.05560678132,43396.05560678132,41969.8941863188,42716.9296875,1191415,GAS
2020-04-08,41630.33115195677,42649.0183977318,41290.76985152375,42581.10546875,1096243,GAS
2020-04-09,43056.491203616504,45501.33984375,42852.75576788296,45501.33984375,1899623,GAS
2020-04-10,44822.218382481544,45840.902275490545,44143.092442666275,45569.25390625,1190444,GAS
2020-04-13,46316.291267771514,47199.15602790475,45840.90409438104,46180.46875,1322240,GAS
2020-04-14,45501.33984375,45705.078623959394,44414.739704918255,45501.33984375,1605283,GAS
2020-04-15,44686.39133773539,45705.0785481408,44482.65255786397,45229.69140625,813464,GAS
2020-04-16,45229.69211052562,46180.46640911181,44686.39203355123,45772.9921875,904437,GAS
2020-04-17,45840.90071027945,46859.5879129819,45840.90071027945,45976.7265625,1023297,GAS
2020-04-20,46180.469418866705,46859.59205098873,45569.25637437598,46723.76953125,1547555,GAS
2020-04-21,44822.218489926876,45637.166944078,43803.53125,43803.53125,1963025,GAS
2020-04-22,41426.59262358042,43871.44116242616,41426.59262358042,43124.40234375,1045877,GAS
2020-04-23,44143.09488032061,44822.220857638335,44007.26901596184,44211.0078125,781970,GAS
2020-04-24,44686.394993279566,44822.220857638335,43939.35608378246,44211.0078125,735009,GAS
2020-04-27,44211.005988674115,44754.30607922045,43463.967109994424,43599.79296875,600742,GAS
2020-04-28,42513.193669676446,43463.96801173919,42377.371152578955,42649.01953125,977823,GAS
2020-04-29,42784.84381882256,43599.79226933082,42784.84381882256,43056.4921875,786510,GAS
2020-05-04,44143.09299361899,44550.5672248035,43192.31867269651,43328.14453125,517193,GAS
2020-05-05,44143.091056741265,44482.65234375,43463.965138247964,44482.65234375,823032,GAS
2020-05-06,45297.6057922537,46723.7672638736,45297.6057922537,46587.94140625,1942299,GAS
2020-05-07,46587.93863772398,47199.15161623238,45976.725659215575,46655.8515625,889699,GAS
2020-05-08,46655.85284911224,48082.0142753101,46655.85284911224,47267.0625,2144077,GAS
2020-05-11,47538.719117951725,49576.09375,47538.719117951725,49576.09375,1367689,GAS
2020-05-12,49508.17861503964,50255.214163187724,48217.83962172777,49711.9140625,1444428,GAS
2020-05-13,49576.09085948277,50187.30053787992,48896.964906904155,49168.61328125,1249446,GAS
2020-05-14,48625.31527169447,49168.61200629837,48353.663559916604,48557.40234375,867372,GAS
2020-05-15,49508.178257162996,49576.09118731755,48149.9296875,48149.9296875,1140142,GAS
2020-05-18,48625.31290284341,49915.6484375,48625.31290284341,49915.6484375,1350707,GAS
2020-05-19,51205.985937731355,51205.985937731355,50323.12457252577,50798.51171875,1443091,GAS
2020-05-20,49576.090599264026,50798.51329411798,49576.090599264026,50391.0390625,880660,GAS
2020-05-21,50594.77519239877,51341.814080895456,50255.21388552356,50934.33984375,1201223,GAS
2020-05-22,50866.422778013155,50866.422778013155,49983.56144522909,50187.296875,1238906,GAS
2020-05-25,50187.299073471775,50323.12492891945,49847.737779328476,50051.4765625,699684,GAS
2020-05-26,50594.77406621567,50866.42578125,50119.38690938156,50866.42578125,776562,GAS
2020-05-27,51273.901150625206,51817.201248311154,50798.51398320951,50934.33984375,1439083,GAS
2020-05-28,50934.335702762044,51205.98405728185,50187.296875,50187.296875,694918,GAS
2020-05-29,50594.77286391887,50594.77286391887,50051.47613571263,50526.86328125,469753,GAS
